symbol,timetoexpiry,strike,last,bid,ask,volume,openint,curprice,histvol,implvol,bsval
BANC,20,18,1.5,2.55,2.95,2,293,20.75,0.36283446019763,0.580611820493998,2.78195522472104
CDR,202,5,0.6,0.75,1,200,5000,5.62,0.224985285501398,0.410067859195809,0.746858548184564
AEO,6,14.5,0.14,0.1,0.15,59,75,14.3,0.297590528033067,0.32135977005915,0.133538299248173
HUN,48,36,0.05,0.05,0.1,87,167,27.42,0.235182992952277,0.449107756128713,0.000510224327222433
TPC,20,20,7.8,8.1,8.6,2,2,28.4,0.1988685732963,1.04824446160517,8.4
COTV,139,50,0.4,0,1.15,2,60,35.98,0.233066111312804,0.532767573027113,0.0230926632664686
FTS,48,35,1.25,1.1,1.55,20,37,35.77,0.132720812384566,0.219486207521232,1.13262788087372
GCO,76,25,3.6,3.6,3.9,10,167,26.6,0.486156735608571,0.64835846044349,3.16676449665127
LW,20,50,0.2,0,0.3,12,256,46.889999,0.137045134442114,0.28893208350502,0.0131227641773897
MDC,20,33,0.45,0.65,0.8,85,490,33.209999,0.147272704375089,0.223191831381523,0.56795770626189
AVX,76,15,3.2,2.65,3.9,5,33,18.23,0.153844331941677,0.617107939789393,3.23095021252531
EXR,167,90,1.05,0.85,1.15,75,143,79.919998,0.223816499019372,0.196908244391343,1.58306769207857
PK,20,25,2.41,2.15,2.9,36,0,27.559999,0.188416331200696,0.495375468860462,2.56549031639099
ALSN,230,25,10.7,11.8,13.6,2,2,37.529999,0.228210120784666,0.519830289986456,12.553921375481
AF,20,22.5,0.2,0,0.45,10,65,21.5,0.23391547083129,0.41834445396552,0.137168705154905
GIMO,48,45,1.9,1.65,1.95,156,181,42.150002,0.23978238917047,0.50428083294537,0.494371254606415
LKSD,20,25,0.1,0,0.5,26,384,16.51,0.398547817210692,1.5918123599405,1.69108516388906e-06
TSQ,167,10,1.05,0.75,1.05,1,1,10,0.272081519317204,0.39023523950702,0.7331774558881
SA,475,5,7,4.9,9.5,300,499,12.2,0.407099673900482,1.5817345727471,7.23720145602332
AVD,48,20,2.3,3.2,3.5,488,268,22.9,0.318081991024045,0.537582933892393,3.04591758264792
BGC,230,22,1.65,1.3,1.65,250,250,18.85,0.329556205658242,0.461462415186171,0.908085136014548
ONDK,48,8,0.1,0,0.2,100,100,4.67,0.411115186668489,1.34671153686436,3.40009912624417e-05
CNDT,202,15,1.95,1.85,2.05,40,15,15.67,0.17353234021216,0.373459357660356,1.16894353201105
VR,139,30,17.9,18.8,19.7,20,0,49.209999,0.566218156337413,0.572097197360166,19.6797074813039
BMA,111,110,12,10.6,13.2,10,157,117.349998,0.326341340848662,0.36277749267875,12.3445361763806
VSM,20,35,3.9,3.7,4.1,201,8,38.82,0.143673671764736,0.423973414626267,3.82035574019356
ECL,202,130,6.7,4.8,5.9,39,74,128.610001,0.103580836891795,0.171362568764295,3.3175699426962
OLP,48,22.5,1.65,1.55,2.6,2,2,24.360001,0.0938095786143829,0.439919332214716,1.86263292891307
STL,20,22.5,0.55,0.25,0.85,6,15,24.65,0.243178240795718,-1.31928378537477e-17,2.18091268448184
CLS,76,17.5,0.25,0.15,0.25,250,20,12.38,0.22573630276334,0.642424037716527,0.000152926022594642
ETP,111,60,0.1,0,1.25,5000,5000,18.290001,0.185883746705729,1.64550695328376,0
EQT,48,65,2.85,2.8,3.1,925,954,65.239998,0.17944393446985,0.316323122752382,1.81295876979971
NOK,475,10,0.14,0,0.14,140,25725,5.98,0.215979857748716,0.348464344863,0.0127026338510683
ARA,76,20,1.8,0,0.9,27,36,14.97,0.356932210316274,0.860431556403356,0.0423437629636169
KR,20,20.5,0.61,0.55,0.65,1420,418,20.059999,0.340524812737727,0.450092871240146,0.448457390941094
RIC,20,7.5,2.15,1.6,2.1,500,526,9.35,0.340594772522398,1.13074881709271,1.85056996689399
PBI,20,14,0.25,0.2,0.3,309,479,14.01,0.158433865467637,0.225563658515268,0.21223689332852
TPH,20,12.5,1.4,1.25,1.45,25,353,13.81,0.206769372388149,0.465702158804197,1.31460061071177
VMW,48,110,2.95,2.85,3.1,1039,2439,109.190002,0.129050728341873,0.220178255814491,1.66640723015556
AMG,167,195,8.82,9.1,9.9,3,13,189.830002,0.141063992892334,0.237401867030675,5.02488109378648
LAZ,48,45,1.7,1.45,1.7,11,960,45.220001,0.198691097587718,0.243342654751966,1.40937539002944
FCFS,76,45,8.5,16.2,19.4,7,7,63.150002,0.145299324458355,0.699743735981726,18.150002102946
MRC,167,17.5,1.38,1.5,1.75,10,63,17.49,0.172912920356123,0.372725264775991,0.810872437119876
ANET,20,195,2.7,2.35,3.2,67,236,189.610001,0.307894292174667,0.30514001792834,3.24579433375399
RUBI,76,7.5,0.1,0,0.1,100,350,3.89,0.545602326866655,1.05192738379272,0.0017375564967429
CVNA,48,12.5,2.97,2.45,3.4,50,297,14.68,0.582709483418962,1.09556078506503,2.54734531924945
LEJU,48,2.5,0.05,0,0.1,50,209,1.69,0.633895867241348,1.25795848170373,0.00852809143264981
XON,48,16,3.36,3.2,3.7,200,200,19.01,0.262509540982489,0.71883756957871,3.03304756959828
ZNH,76,45,1.73,0.05,0.25,6,9,34.369999,0.335570329798439,0.411613639758426,0.0948337739835237
PEG,76,40,6.22,6.3,6.6,42,0,46.25,0.145808962079846,0.279918650511619,6.26470868212348
SA,475,5,7,4.9,9.5,300,499,12.2,0.407099673900482,1.5817345727471,7.23720145602332
